title_keywords,abstract_keywords
智能医疗诊断系统，深度学习算法优化，多模态数据融合,医疗诊断，深度学习，多模态数据融合，医学影像，基因组学，临床文本数据，智能辅助诊断系统
城市更新，BIM技术，施工管理,城市更新，BIM技术，物联网技术，全生命周期管理，施工进度模拟，资源优化配置，多方协同管理，智慧城市，建筑行业数字化转型
网络治理，城市更新，优化策略,多元主体协同治理，网络治理理论，多主体协同框架，行政主导型，市场驱动型，城市更新治理体系
城市更新，建设用地再开发，土地财产权,土地再开发，产权界定模糊，利益分配机制，产权细分，增值收益分配，多方主体协同，权属清晰，利益共享，产权制度，存量建设用地
老旧小区改造，协同与网络治理，评估与决策支持,老旧小区改造，公众/社区参与，协同与网络治理，社会影响与包容性，土地经济与产权，评估与决策支持，城市活力
城市更新，协同与网络治理，土地经济与产权,城市更新，协同与网络治理，土地经济与产权，社会影响与包容性，评估与决策支持
可持续更新，城市更新，决策支持,城市更新，可持续更新，GIS与空间分析，评估与决策支持，老旧小区改造，社会影响与包容性，数字技术与智慧城市，国土空间规划
循环农业系统，废弃物代谢，效能优化,农业废弃物处理，生物降解技术，生物转化，物质循环，低碳农业，可持续农业
可持续更新，城市更新，决策框架,城市更新，可持续更新，利益相关者，GIS与空间分析，评估与决策支持，低碳与双碳目标，社会影响与包容性，协同与网络治理
城市更新，公私合作，治理机制,城市更新，公私合作，利益相关者，土地经济与产权，投融资与运营模式，协同与网络治理，社会影响与包容性
城市化，移民群体，政治参与,城市化，移民群体，政治参与，户籍制度改革，社区治理模式变迁，流动人口治理
历史街区保护，可持续更新，关联网络系统,历史街区保护，可持续更新，利益相关者，公众/社区参与，协同与网络治理，社会影响与包容性，GIS与空间分析，评估与决策支持
城市更新，利益相关者，评估与决策支持,城市更新，利益相关者，评估与决策支持，社会影响与包容性，土地经济与产权，投融资与运营模式
城市活力，城市更新，多维数据分析,城市活力，城市更新，大数据，空间异质性，经济活力，社会活力，环境活力，步行可达性，商业密度，空间溢出效应，差异化更新策略
可持续更新，低碳与双碳目标，城市韧性,城市更新，可持续更新，低碳与双碳目标，城市韧性，土地经济与产权，生态修复与绿色基础设施，评估与决策支持
城市更新，数字技术与智慧城市，评估与决策支持,城市更新，数字技术与智慧城市，大数据与多源数据，数字孪生，评估与决策支持，老旧小区改造，工业遗产与棕地更新，历史街区保护，公共空间更新
低碳与双碳目标，大数据与多源数据，城市韧性,低碳与双碳目标，大数据与多源数据，遥感技术，生态修复与绿色基础设施，评估与决策支持，城市韧性
城市更新，多维驱动因素，政策创新,城市更新，经济-社会-环境多维驱动协同，案例对比建模，空间计量分析，商业更新，工业改造，住区再生，产权结构，地价梯度，公共服务缺口，政策干预，市场化，政府调控，以人为本，新型城镇化
历史街区保护，工业遗产与棕地更新，协同与网络治理,历史街区保护，工业遗产与棕地更新，协同与网络治理，社会影响与包容性，土地经济与产权
可持续更新，利益相关者，协同与网络治理,可持续更新，利益相关者，协同与网络治理，社会影响与包容性，评估与决策支持
生产-生活-生态空间，生态环境效应，多尺度耦合模型,快速城镇化，可持续发展，国土空间优化，生态系统服务评估，时空分异特征，生态环境质量，人地系统耦合，国土空间规划
城市更新，利益相关者，协同与网络治理,城市更新，利益相关者，协同与网络治理，公众/社区参与，社会影响与包容性，评估与决策支持
社交电商平台，用户增长策略，AARRR模型,用户生命周期管理，定量分析，案例研究，短视频内容推荐算法，社交裂变机制，用户留存率，用户收益增长，用户推荐转化率
城市更新，利益相关者，协同决策,城市更新，利益相关者，协同治理，决策支持系统，多准则决策，知识图谱，文本挖掘，社会网络分析
遥感技术，城市更新，可持续更新,遥感技术，城市更新，可持续更新，大数据与多源数据，GIS与空间分析，评估与决策支持，城市活力
城市更新，复杂系统决策方法，协同分析,城市更新，利益相关者，决策支持系统，旧城改造，多元共治，动态评估体系，智能决策支持系统
低碳与双碳目标，智能优化，可再生能源,低碳与双碳目标，可再生能源，智能优化，物联网实时监测技术，多目标优化模型，建筑运营能耗成本，碳排放量减少
遥感技术，地理人工智能，城市更新,遥感技术，地理人工智能，城市更新，大数据与多源数据，GIS与空间分析，评估与决策支持
历史街区保护，协同与网络治理，城市更新,历史街区保护，协同与网络治理，利益相关者，公众/社区参与，社会影响与包容性，投融资与运营模式
老旧小区改造，城市更新，可持续更新,老旧小区改造，城市更新，可持续更新，社区活力提升，居住条件改善，资源利用效率，双碳目标，城市治理政策
城市更新，可持续更新，城市韧性,多维协同评估，GIS空间分析，社会调查，多目标决策分析，经济可行性，生态敏感性，社会公平性，决策支持模型，城市更新理论体系，城市高质量发展
可持续更新，城市更新，评估与决策支持,可持续更新，城市更新，城市韧性，城市活力，社会影响与包容性，低碳与双碳目标，评估与决策支持，GIS与空间分析
城市更新，地下空间利用，协同开发,土地资源约束，地下空间利用，GIS与空间分析，多目标决策模型，全生命周期成本分析法，协同规划机制，混合功能适配性评估，经济-社会-环境综合效益测算
城中村改造，协同与网络治理，微更新/渐进式更新,城中村改造，社会影响与包容性，微更新/渐进式更新，GIS与空间分析，公众/社区参与，土地经济与产权，社会网络调查，参与式规划设计
利益相关者，城市更新，协同治理,城市更新，利益相关者，社会风险，博弈论建模，协同治理，风险传导机制，社会网络分析，多案例比较，风险预警指标体系
城市更新，生态修复与绿色基础设施，数字技术与智慧城市,城市更新，生态修复与绿色基础设施，数字技术与智慧城市，大数据与多源数据，评估与决策支持
城市更新，协同与网络治理，利益相关者,城市更新，协同与网络治理，利益相关者，公众/社区参与，社会影响与包容性，土地经济与产权，评估与决策支持
新型城市化质量评价，空间格局优化，区域协调发展,城市化进程，质量提升，经济-社会-生态，多维协同，空间自相关分析，冷热点探测，产业结构，公共服务，环境承载，协调度，空间集聚特征，演化趋势，梯度分布，太原都市圈，资源型城市转型，差异化区域政策，国土空间格局
社区可持续性评估，城市更新，多维指标体系,可持续性评估，城市更新，社区韧性，GIS与空间分析，评估与决策支持，层次分析法，熵权法，联合国可持续发展目标
社会转型，心理变迁，纵向研究,现代化进程，横向分析，纵向追踪，代际队列比较，宏观社会经济指标，结构方程模型，价值观，幸福感，社会态度，代际传递效应，GDP增速，城镇化率，个人主义倾向，民生保障水平，心理健康，社会政策
城市更新，社会创新，组织美学,城市更新，社会资本断裂，文化认同缺失，社区参与，文化认同，空间资源配置，行动者网络理论，社会创新，组织美学
区域创新网络，协同机制，长三角城市群,区域创新网络，协同效率，资源配置，多中心-多层次，社会网络分析，空间计量经济学，创新要素流动，节点城市，制度壁垒，网络韧性，知识溢出，协同创新
城市更新，多源数据，数字分析框架,城市更新，市政发展，多源数据，机器学习，基础设施，公共服务，环境质量，智慧城市，政府决策
老旧小区改造，微更新/渐进式更新，评估与决策支持,老旧小区改造，可持续更新，微更新/渐进式更新，城市活力，公众/社区参与，评估与决策支持，社会影响与包容性
城市更新，社会可持续性，规划政策,社会可持续性，社会公平，社区参与，文化保护，社会包容性，协同治理，多元利益主体诉求，联合国可持续发展目标
遥感技术，文献计量分析，发展趋势,地球观测技术，遥感卫星，文献计量学，知识图谱分析，高分辨率对地观测系统，国际合作，空间基础设施规划
城市更新，数字技术与智慧城市，评估与决策支持,数字技术与智慧城市，大数据与多源数据，GIS与空间分析，公众/社区参与，评估与决策支持，可持续更新
工业遗产与棕地更新，协同与网络治理，GIS与空间分析,工业用地转型，空间治理，利益相关者，GIS与空间分析，协同与网络治理，空间正义，城市更新
工业遗产与棕地更新，评估与决策支持，城市更新,工业遗产与棕地更新，后占用评估，空间句法，城市更新，可持续更新，公众/社区参与，社会影响与包容性
城市更新，协同治理，空间正义,城市更新，协同治理，空间正义，社会网络分析，空间计量模型，公私部门协同，更新效率，决策支持
城市更新，协同发展，空间结构,都市圈，产业布局，人口分布，空间计量经济学，国土空间规划
城市更新，利益相关者，协同与网络治理,城市更新，利益相关者，协同与网络治理，公众/社区参与，社会影响与包容性
社交电商，用户增长，策略优化,社交电商，用户增长，策略优化，用户生命周期，转化率，留存率，单用户价值
城市更新，利益相关者，协同与网络治理,老旧小区改造，利益相关者，协同与网络治理，公众/社区参与，评估与决策支持，大数据与多源数据，数字技术与智慧城市
遥感技术，城市更新，可持续发展评估,夜间灯光遥感数据，多源卫星数据融合，时空分析，城市人口分布，经济活动，能源消耗，国土空间规划，智慧城市
城市更新，决策优化，规划能力,城市更新，规划能力，决策优化，决策实验室分析法，多维度评价指标体系
低碳与双碳目标，可再生能源，多目标优化,建筑行业碳排放，可再生能源，多目标优化，光伏，地源热泵，能源成本节约，环保效益，绿色建筑，低碳转型，可持续城市发展
遥感技术，GIS与空间分析，数字技术与智慧城市,遥感技术，GIS与空间分析，数字技术与智慧城市，大数据与多源数据，评估与决策支持，智慧城市
城市更新，协同与网络治理，历史街区保护,城市更新，协同与网络治理，利益相关者，公众/社区参与，可持续更新，历史街区保护，文化资本转化，弹性规划
老旧小区改造，可持续更新，政策优化,老旧小区改造，可持续更新，社会公平，环境可持续性，经济-社会-环境三维协同，节能改造，公共空间更新，社区治理创新，居民满意度，建筑能耗，双碳目标
可持续更新，城市更新，评价方法,城市更新，可持续更新，老旧小区改造，公众/社区参与，生态修复与绿色基础设施，低碳与双碳目标，评估与决策支持
可持续更新，城市更新，评估与决策支持,城市更新，可持续更新，评估与决策支持，利益相关者，协同与网络治理，低碳与双碳目标，社会影响与包容性，投融资与运营模式
城市更新，地下空间利用，多源数据,城市更新，地下空间利用，GIS与空间分析，大数据与多源数据，评估与决策支持，数字技术与智慧城市
城中村改造，渐进式更新，社会影响与包容性,城中村改造，渐进式更新，社会影响与包容性，空间形态学分析，社会调查，社区纽带
城市更新，利益相关者，协同治理,城市更新，利益相关者，社会风险，公众参与，协同治理，群体性事件
城市更新，生态修复与绿色基础设施，评估与决策支持,城市更新，生态修复与绿色基础设施，评估与决策支持，大数据与多源数据，数字技术与智慧城市
城市更新，评估与决策支持，协同与网络治理,城市更新，评估与决策支持，利益相关者，协同与网络治理，社会影响与包容性，土地经济与产权
新型城市化，质量评价，空间优化,城市化质量评价，空间异质性，综合评价框架，产业结构，公共服务，环境承载力，空间分异规律，集聚特征，生态-经济协调度
城市更新，可持续更新，评估与决策支持,城市更新，可持续更新，社区韧性，公众/社区参与，评估与决策支持，社会影响与包容性
社会转型，民众心理，跨学科实证研究,社会转型，心理变迁，制度变迁，文化适应，心理响应，经济改革，教育普及，城市化进程，价值观，幸福感，焦虑水平
城市更新，社会创新，组织美学,城市更新，可持续更新，公众/社区参与，社会影响与包容性，协同与网络治理，文化认同，社区活化，社会组织美学
