Word,Count
智能体与交互,381
以人为本设计,381
系统性能指标,354
自适应机制,329
多模态感知,322
智能建筑与运维,301
具身智能与机器人技术,176
模型优化,161
数字孪生与BIM,151
可持续与环境评估,129
智慧教育,115
强化学习,103
生成式工作流,102
智慧养老,98
参数化与计算设计,80
计算机视觉,61
社会机器人,59
自然语言处理,49
城市规划与更新,43
数字建造与制造,43
多目标跟踪,14
用户体验/UX,14
物联网,8
情感计算,8
多目标优化,7
建筑遗产保护,6
区块链与溯源,5
神经建筑学,5
智慧城市,5
实时性,5
伦理嵌入,5
能耗优化,5
多准则优化,4
室内环境质量/IEQ,4
异构数据融合,4
情境感知,4
预测性维护,4
世界模型,3
生理传感器/EEG/EMG,3
深度学习,3
边缘计算,3
人机协同/HRI,3
模仿学习,3
全生命周期评价/LCA,3
路径规划,2
情感化,2
视觉-语言-动作模型,2
数据集成管理,2
穿戴式传感,2
多智能体,2
自主导航,2
零样本泛化,2
准确率,2
目标检测,2
鲁棒性,2
人工智能,2
暖通空调/HVAC,2
室内环境监测,2
碳足迹,2
数据可追溯性,2
数据驱动,2
互操作性,2
无人机/UAV,1
跨模态生成,1
大语言模型,1
热/光/声环境,1
体素化,1
知识抽取,1
室内环境质量,1
三维重建,1
Sim2Real,1
适应性,1
响应性,1
城市公共空间,1
多尺度特征融合,1
注意力机制,1
轻量化模型,1
多源信息融合,1
评估指标体系,1
智慧校园,1
云计算,1
可追溯性,1
可视化仿真,1
态势感知,1
智能预警,1
物联网设备,1
机器学习算法,1
多目标优化算法,1
建筑信息模型,1
多系统融合建模,1
协同调度,1
碳排放,1
能效评估,1
虚拟仿真,1
火灾物理模拟,1
三维建模,1
沉浸式演练,1
实时数据记录,1
可视化复盘,1
个性化优化,1
应急疏散决策,1
行为训练,1
消防安全培训,1
可视化管控,1
用户行为画像,1
个性化服务,1
虚拟仿真技术,1
仿真验证,1
通用决策框架,1
大数据,1
个性化学习,1
数据融合,1
系统性文献综述,1
多维度分析框架,1
技术架构,1
实施挑战,1
新兴研究主题,1
可持续发展,1
战略规划,1
评估体系,1
智慧医疗（原文）,1
模型预测控制,1
智慧建筑,1
物联网传感,1
