Word,Count
城市更新,439
评估与决策模型,190
可持续更新,162
协同与网络治理,148
多方利益相关,131
社会影响与包容性,117
公众/社区参与,110
GIS与空间分析,99
历史街区保护,87
乡村振兴,79
生态修复与绿色基础设施,72
土地经济与产权,57
老旧小区改造,48
大数据与多源数据,47
遥感技术,43
数字技术与智慧城市,40
公共空间更新,34
低碳与双碳目标,33
城市韧性,32
投融资与运营模式,31
多源数据,27
智慧城市,27
农村电子商务,26
电子商务,25
数字经济,24
工业遗产与棕地更新,23
协同治理,22
城中村改造,19
微更新/渐进式更新,19
有机更新,18
社区参与,18
可持续发展,18
空间句法,18
城市活力,17
特色农产品,15
社会网络分析,14
城市微气候环境,13
数字化转型,13
国土空间规划,12
决策支持,11
决策支持系统,11
乡村振兴战略,11
大数据,10
适应性再利用,10
制度创新,10
空间治理,10
农村电商,10
居民满意度,10
公共交通导向更新,9
公众参与,9
GIS空间分析,9
文献计量学,8
高质量发展,8
绿色基础设施,8
资源整合,8
乡村旅游,8
机器学习,8
多源数据融合,8
产业链整合,8
多模态数据融合,7
高密度城市,7
跨境电商,7
深度学习,7
文旅融合,7
品牌建设,7
文化认同,7
城市化,6
社会可持续性,6
空间正义,6
城市治理,6
智慧养老,6
老龄化,6
文化传承,6
动态评估,6
产业升级,6
社会包容性,6
基础设施薄弱,6
生态安全格局,6
优化策略,5
治理机制,5
可再生能源,5
协同机制,5
空间分析,5
空间规划,5
产业融合,5
物流体系优化,5
物流优化,5
空间重构,5
冷链物流,5
电子商务平台,5
共同富裕,5
多源遥感数据,5
空间计量模型,5
数字孪生,5
双碳目标,5
公共服务,5
空间计量经济学,5
社会公平,5
社会资本,5
系统动力学,5
空间句法分析,5
文化遗产保护,5
地下空间利用,4
多目标优化,4
智能决策,4
制度环境,4
新质生产力,4
政策评估,4
绩效评估,4
治理模式,4
土地利用效率,4
文化旅游,4
数字化营销,4
城乡融合发展,4
生态系统服务,4
区域特色产业,4
社区韧性,4
社区治理,4
一带一路,4
空间异质性,4
动态评估体系,4
城市化进程,4
层次分析法,4
社区参与机制,4
大数据分析,4
机器学习算法,4
政策工具,4
交通可达性,4
可持续发展目标,4
混合研究方法,4
综合评价体系,4
人才短缺,4
协同发展模式,4
公众满意度,4
物流网络优化,4
智能医疗诊断系统,3
BIM技术,3
移民群体,3
社会转型,3
社会创新,3
组织美学,3
区域创新网络,3
协同发展,3
决策优化,3
后占用评估,3
城市群,3
评估体系,3
知识图谱,3
功能重构,3
行动者网络理论,3
多案例比较,3
存量更新,3
社会效益评估,3
数字化赋能,3
农村电商发展,3
产城融合,3
交易成本,3
生态脆弱区,3
POI数据,3
区域协同,3
SWOT分析,3
治理体系,3
供应链韧性,3
智能管理,3
数字金融,3
生态旅游,3
政策协同,3
路径优化,3
社会工作,3
效能评估,3
湿地保护,3
文化IP,3
县域经济,3
运营效率,3
生物多样性保护,3
城市微更新,3
滨水空间更新,3
社会网络,3
利益分配机制,3
空间溢出效应,3
差异化更新策略,3
新型城镇化,3
智能决策支持系统,3
城市高质量发展,3
基础设施,3
可持续城市发展,3
系统动力学建模,3
评价指标体系,3
蒙特卡洛模拟,3
注意力机制,3
城市再生,3
多准则决策分析,3
空间利用率,3
区域金融政策,3
经济,3
社会,3
环境,3
A/B测试,3
供应链优化,3
产业联动,3
农产品上行,3
城市可持续发展,3
文化内涵,3
可持续性,3
政府引导,3
区域公共品牌,3
遗产保护条例,3
数据驱动,3
物流体系,3
人才培养,3
社会网络分析法,3
案例比较法,3
生物多样性,3
生态服务功能,3
物流成本,3
碳中和,3
产业协同,3
生态修复,3
市场驱动,3
电商生态系统,3
数字素养,3
文化传播,3
社区微更新,3
数字基础设施,3
公私合作,2
政治参与,2
政策创新,2
智能优化,2
地理人工智能,2
多维指标体系,2
心理变迁,2
长三角城市群,2
文献计量分析,2
社交电商,2
用户增长,2
策略优化,2
规划能力,2
政策优化,2
渐进式更新,2
规划政策优化,2
国家战略需求,2
制造业用地扩张,2
智能防控,2
空间叙事,2
居民生活质量,2
商业可持续性,2
生态环境质量,2
